"CONTRACT_KEY","LOCAL_USAGE"
142404951,3583184896
142404952,2549186560
142404960,5577773054
142405010,5348440064
142405022,3725328384
142405038,1973862400
142405123,1953525760
142405133,806498304
142405136,1110743040
142405146,282275840
142405204,654594048
142405304,249108480
142405312,2100101120
142405364,1590917120
142405389,265318400
142405434,946288640
142405460,2298255360
142405481,289495040
142405509,723466240
142405627,4506040320
142405691,4689920
142405736,15272474624
142405746,76611588
142405781,12771328
142405814,1928601600
142405827,1866250239
142405877,2752014336
142405904,1395281920
142405920,714209280
142405996,1926041600
142406151,406118400
142406152,3461484544
142406157,593971200
142406192,6483994624
142406218,487813120
142406226,1777786880
142406275,3879854079
142406353,579481600
142406373,549765120
142406413,55613440
142406482,755271680
142406487,16773857279
142406504,1322731520
142406618,409602
142406670,197703680
142406681,1081088000
142406769,481863680
142406864,3277598720
142406892,6237085696
142406930,1470187520
142406939,1347399680
142406943,2002022400
142406999,2448302080
142407035,6131765248
142407103,667504640
142407157,289177600
142407170,2816663142
142407175,182753280
142407198,47611246591
142407264,15879622656
142407286,4178709708
142407287,2006112256
142407331,4541077504
142407380,301690880
142407394,716800
142407460,757946368
142407492,534108160
142407533,1074677760
142407566,317071360
142407595,44339200
142407604,48442183678
142407607,11276191331
142407634,2099961856
142407642,3283955302
142407680,3301253120
142407699,4593575936
142407709,37559992320
142407858,704307200
142407957,3758147584
142407997,354099200
142408066,1683302400
142408249,2801070080
142408329,121753600
142408414,685987840
142408488,8419414016
142408572,6041600
142408588,2785771520
142408635,2110976000
142408649,1331539968
142408657,1922744320
142408726,13865733731
142408730,173178880
142408780,1146296320
142408839,1128812544
142408848,267786240
142408854,263475200
142408881,2176270336
142408887,602122241
142408993,951603200
142409013,4512720896
142409032,9695574016
142409055,2613114880
142409179,105656320
142409224,1390698496
142409284,945367040
142409286,1960185856
142409289,2847801345
142409305,4976209920
142409310,2762444797
142409353,4407119872
142449455,2851403776
142449485,7497728000
142449494,746741760
142449645,602757120
142449657,7635668992
142449731,11258007552
142449928,1353005056
142449972,8080011264
142449985,633927680
142450006,1739042816
142450009,2889195519
142450033,553973760
142450120,848179200
142450157,267040768
142450180,3915554405
142450201,2005315584
142450214,1211412480
142450223,2554748928
142450300,14005440512
142450351,611430400
142450379,212787200
142450397,786442240
142450427,47319040
142450540,1761458176
142450541,681256960
142450646,1193666560
142450664,290037760
142450665,1532354560
142450699,393984000
142450714,3822315520
142450759,30412800
142450796,5574924288
142450799,1105100800
142450822,7203133440
142450882,5608206336
142450925,30267904000
142450988,5584498278
142451026,188702720
142451151,292567041
142451234,4334284800
142451348,1498122240
142451418,6888462336
142451427,347586560
142451428,1342177280
142451487,2164254720
142451526,1775278080
142451542,4711794278
142451556,2182977536
142451566,2889123840
142451578,3180154880
142451590,1130117120
142451613,2448547840
142451626,1548083200
142451633,1115146240
142451656,5769193472
142451659,367943680
142451670,1548109824
142451761,1617606656
142451843,84787200
142451854,4174530559
142452103,1185392640
142452111,457123840
142452172,1453793280
142452180,547328000
142452600,750049280
142452647,1297379328
142452648,3917090816
142452769,825958400
142452831,1731225600
142452853,1539086336
142452856,7526400
142452893,7746785280
142452969,973414400
142452973,690892800
142453181,6230677504
142453260,1612679168
142453276,1513736192
142453277,222953474
142453319,11603046400
142453340,2925365248
142453354,4436764669
142453384,3433406464
142453415,4503535616
142453416,1128458240
142453516,60620800
142453537,1848293376
142453590,1610772480
142453730,4413483008
142453819,1746966529
142453831,3604013056
142453839,4180688896
142453844,22958096
142453960,5815121920
142453987,4638842880
142454171,1148825600
142454211,426506240
142454237,2242871296
142454360,2903009280
142454361,424970240
142454362,122480645
142454550,2165370880
142454583,1288714240
142454700,1740801
142454774,856985600
142454859,1342371840
142454922,49319941
142454943,721991680
142455251,3145279488
142455354,101478400
142455382,953876480
142455420,62464000
142455644,3996010496
142455804,429363200
142455912,3907182592
142455927,1483878400
142456003,2411902976
142456026,854681600
142456093,386570240
142456258,1418659840
142456360,6717419520
142456393,3806791680
142456426,427120640
142456435,204802
142456483,3600246784
142456515,1386844160
142456523,1271021569
142456701,8445954
142456735,24620124160
142456743,15843347
142456746,204801
142456753,942082
142456757,6373385
142456807,1757818880
142456862,6734835708
142456869,1355448320
142456886,59846669
142456910,1267712000
142456968,342603776
142456988,4122808320
142457035,543037440
142457112,767590400
142457114,4185927680
142457120,97413120
142457185,2995128316
142457190,1290352640
142457270,4315801600
142457290,2627031037
142457301,112199680
142457385,10261032960
142457392,4316473342
142457441,716802
142457451,1274470397
142457474,1840087040
142457485,62500875
142457490,344166400
142457631,1342197760
142457684,1852569600
142457713,2033735680
142457718,164579328
142457743,412067840
142457752,1334118400
142457753,3870177278
142457766,12105945088
142457775,4994498560
142457804,49475584
142457813,1650083841
142457862,10271356927
142457884,3172556800
142457886,3045171200
142458073,6868971520
142458117,40480196602
142458118,4842321920
142458126,11673763840
142458139,2183835648
142458159,465428480
142458190,621367296
142458215,532572160
142498305,3286456320
142498334,2791997440
142498343,1698713600
142498351,258447360
142498355,4687104000
142498381,861143040
142498384,9252999167
142498401,1011210240
142498404,51200000
142498428,1539604480
142498437,189808640
142498451,9366740992
142498484,874475520
142498492,7277885440
142498494,5075558400
142498496,0
142498505,1404241920
142498570,1919698945
142498599,2898694144
142498618,4079679488
142498741,298813441
142498834,630364160
142498861,8775178232
142498900,4438953984
142499162,3781136384
142499535,215041
142499653,3173468160
142499672,716802
142499717,148533252
142499878,976496640
142499891,2731939840
142499928,3977539584
142499941,884582400
142499949,459878400
142499960,4649472000
