"TOTAL_SESSIONS","TOTAL_USAGE","X209_SESSION_COUNT","X209_USAGE","X210_SESSION_COUNT","X210_USAGE","CONTRACT_KEY","LOCAL_USAGE","ROAMING_SESSIONS_COUNT","WEEK_DAY_SESSIONS","WEEK_END_CONSUMPTION","WEEK_END_SESSIONS","WEEK_DAY_CONSUMPTION","TARGET"
10310,15867,3614,5541,2999,3418,142404951,3417,0,2174,1162,825,2173,1
3449,10803,2210,2905,2835,2432,142404952,2431,0,2211,420,624,1929,0
1515,6570,583,3735,569,5182,142405010,5100,16,430,1617,139,3452,0
2232,12071,579,3505,1000,3553,142405022,3552,0,729,872,271,2539,0
1635,10227,102,580,489,1883,142405038,1882,0,285,834,204,968,0
98,184,278,1084,338,1060,142405136,1059,0,216,298,122,655,1
3350,1375,1706,514,371,270,142405146,269,0,193,46,178,190,0
513,3170,179,1688,168,840,142405192,0,0,0,0,0,0,1
1474,6421,836,703,844,625,142405204,624,0,625,142,219,372,0
1405,8662,381,356,338,238,142405304,237,0,275,30,63,165,0
2197,4906,1305,2421,1039,2003,142405312,2002,0,785,705,254,1170,0
153,916,112,1269,151,563,142405387,0,0,0,0,0,0,0
46,2345,46,1491,85,1722,142405405,0,0,0,0,0,0,0
5341,4417,4275,876,4848,903,142405434,902,0,3355,153,1493,702,0
2358,2272,376,379,2886,2192,142405460,2191,0,2072,1123,815,990,1
1053,1975,377,519,210,277,142405481,276,0,177,39,33,175,0
63,245,186,235,126,113,142405487,0,0,0,0,0,0,0
486,753,324,544,245,287,142405488,0,0,0,0,0,0,0
623,1971,386,1787,373,1548,142405492,0,0,0,0,0,0,0
1936,3075,153,587,218,690,142405509,689,0,160,198,58,439,0
874,924,116,449,124,173,142405519,0,0,0,0,0,0,0
3271,1489,273,290,266,1506,142405552,0,0,0,0,0,0,1
347,28246,1002,21196,757,18724,142405570,0,0,0,0,0,0,1
9306,11434,2708,3382,3260,3540,142405575,0,0,0,0,0,0,0
1291,2189,311,854,199,392,142405608,0,0,0,0,0,0,0
1002,22411,232,6085,252,4298,142405627,4297,0,171,944,81,3297,0
7953,6470,3786,1706,3411,4662,142405680,0,0,0,0,0,0,1
74,28,13,3,3,13,142405781,12,0,3,0,0,12,0
740,4345,355,1330,528,1840,142405814,1839,0,377,251,151,1494,1
3608,12815,596,1490,541,1780,142405827,1779,0,414,407,127,1246,0
518,4392,61,1525,31,299,142405841,0,0,0,0,0,0,0
7034,7247,3329,2397,5354,2625,142405877,2624,0,3673,951,1681,1623,0
1017,4591,209,1722,333,2026,142405889,0,0,0,0,0,0,0
2563,8260,988,4172,700,3206,142405919,0,0,0,0,0,0,0
6313,1950,2970,945,1258,682,142405920,681,0,914,384,344,186,1
3841,6136,1195,3881,1448,2487,142405923,0,0,0,0,0,0,0
543,41601,280,8393,469,31326,142405932,0,0,0,0,0,0,1
265,18489,319,8138,104,1837,142405996,1836,0,48,1096,56,721,0
2214,12379,937,4506,1412,5020,142406113,0,0,0,0,0,0,1
2619,26168,1972,3355,1946,3112,142406121,0,0,0,0,0,0,0
991,2768,265,698,274,581,142406157,566,12,221,148,53,335,0
122,610,19,90,37,29,142406183,0,0,0,0,0,0,0
4359,19014,1367,7258,1034,6184,142406192,6183,0,732,2216,302,3886,0
284,2323,70,366,106,1203,142406213,0,0,0,0,0,0,1
2294,1802,594,515,795,466,142406218,465,0,591,80,204,294,1
945,5655,188,1676,260,1696,142406226,1695,0,188,365,72,1262,0
15,5,4,1,14,3,142406252,0,0,0,0,0,0,0
5867,8689,1541,4943,2951,3702,142406275,3700,4,2109,1530,842,2077,0
1173,1620,212,654,302,1406,142406283,0,0,0,0,0,0,1
595,9,814,202,158,3,142406341,0,0,0,0,0,0,0
5816,9045,3217,1999,5015,525,142406373,524,0,3659,166,1356,305,0
45,1312,11,166,11,1323,142406377,0,0,0,0,0,0,1
358,848,20,41,22,54,142406413,53,0,10,16,12,34,0
227,63,38,8,45,10,142406449,0,0,0,0,0,0,0
2052,2758,313,1231,250,1076,142406452,0,0,0,0,0,0,0
587,13036,283,6329,531,4679,142406460,0,0,0,0,0,0,0
595,2838,77,686,81,307,142406471,0,0,0,0,0,0,0
845,122,45,24,34,19,142406472,0,0,0,0,0,0,0
44,1197,30,1204,42,654,142406476,0,0,0,0,0,0,1
656,2389,306,1258,342,714,142406478,0,0,0,0,0,0,0
3956,455,170,31,335,1792,142406479,0,0,0,0,0,0,0
10569,21364,5105,6882,4902,15997,142406487,15996,1,3377,4533,1525,11363,1
1478,5148,346,707,351,1262,142406504,1261,0,273,483,78,731,0
519,67,43,12,41,12,142406514,0,0,0,0,0,0,0
263,656,249,1431,327,1202,142406599,0,0,0,0,0,0,1
25,65,3,1,5,1,142406618,0,2,5,0,0,0,0
5365,2520,992,939,562,189,142406670,188,0,462,79,100,78,0
3242,4715,747,2531,746,1032,142406681,1031,0,631,188,115,761,1
989,1744,335,316,502,460,142406769,459,0,396,193,106,206,0
7636,24989,2831,7333,2205,5949,142406892,5948,0,1774,1362,431,4382,0
1859,3652,1249,2410,1204,2043,142406897,0,0,0,0,0,0,1
315,3837,103,1282,116,1285,142406939,1284,0,84,802,32,468,0
689,2039,820,1190,1074,1910,142406943,1909,0,768,576,306,1239,1
2718,4458,504,3023,730,2335,142406999,2334,0,499,680,232,1578,0
2248,13021,311,4177,674,5848,142407035,5847,0,494,2323,180,3424,1
1946,9295,2,1,380,2947,142407054,0,0,0,0,0,0,0
446,868,188,568,210,207,142407096,0,0,0,0,0,0,0
3090,2602,1130,614,1142,637,142407103,636,0,1068,3,74,596,0
10,3,1,1,1,1,142407156,0,0,0,0,0,0,0
8689,6056,3296,3661,3796,2687,142407170,2686,0,2757,689,1039,1897,0
1930,4775,359,1108,58,175,142407175,174,0,58,0,0,162,0
1517,4402,600,1077,532,1893,142407207,0,0,0,0,0,0,1
2145,39670,206,23839,221,15144,142407264,15143,0,166,3573,55,11485,1
4829,13547,1460,4471,1866,1914,142407287,1913,0,1352,388,514,1443,0
31,345,10,110,1,12,142407369,0,0,0,0,0,0,0
