"CONTRACT_KEY","ROAMING_USAGE"
142405010,85094400
142405133,0
142405389,179507200
142405746,409600
142405904,29593600
142406151,26828800
142406157,14848000
142406275,1703936
142406487,0
142406618,0
142407157,11571200
142407492,16486400
142407634,716800
142407709,1880096768
142408249,46489600
142408655,204800
142408657,28569600
142408839,0
142409289,1126400
142449928,2686976
142450157,3174401
142450201,512000
142450541,11571200
142450646,2969600
142450664,14745600
142450698,348979200
142450988,0
142451026,10137600
142451344,1024000
142451427,373760000
142451542,0
142451659,2560000
142452969,8192000
142453260,17637376
142453277,7933950
142453340,0
142453844,68866033
142454362,17252351
142454922,51523581
142455354,102400
142455420,2252800
142455804,185446400
142456258,157388800
142456435,0
142456701,13643776
142456743,222285807
142456757,8138750
142456869,51531777
142456886,126066675
142457441,0
142457684,0
142457718,0
142458190,0
142498343,220057600
142498496,343347200
142498570,0
142498838,8192000
142499253,39936000
142499717,7827456
142499949,157286400
142500478,0
142500583,20525055
142500752,120791039
142501364,5632000
142501788,7344128
142502172,9084927
142502548,223129600
142502693,2252800
142503064,102400
142503149,2277376
142504008,0
142504009,0
142504077,204800
142504127,102400
142504527,0
142504623,2736127
142504752,0
142504933,17100800
142605416,716800
142605624,0
142607113,0
142607115,21913600
142607133,221696000
142607254,3760128
142607417,0
142607958,2252800
142608114,0
142608416,178790400
142609398,0
142609657,10797056
142609843,105984000
142610025,3481600
142610297,0
142610898,0
142610901,2662400
142610934,236953600
142611004,716800
142611104,333619200
142611180,1843200
142611215,0
142611241,3555327
142611451,8396800
142611559,1536000
142611856,10240000
142612188,0
142613264,6680577
142613266,0
142613319,297062400
142613535,0
142613951,2633727
142614007,7475200
142614068,0
142675287,45772800
142675942,512000
142676459,6246400
142676588,51814400
142676931,409600
142676962,0
142677034,403353600
142777258,148377600
142777617,42774526
142777693,0
142777820,5324800
142777842,46592000
142777857,43417600
142778483,11415550
142778537,0
142778583,30720000
142779244,1228800
142779384,41676800
142779484,28909550
142779904,4120575
142780424,102400
142780435,53219328
142780713,62197753
142780795,6656000
142780828,11980800
142780835,0
142780905,0
142781100,9420800
142781180,6217728
142781229,0
142781285,12464127
142781349,71565304
142781455,0
142781526,35373052
142781570,0
142781611,63283200
142781674,229478400
142782002,0
142782017,921600
142782087,3403776
142782354,0
142782461,40341504
142782530,40267776
142782550,0
142782634,4915200
142783378,9363454
142783444,0
142783503,0
142783549,251596800
142784188,36454400
142784189,102400
142784275,7372800
142784336,0
142784440,0
142784588,1536000
142784961,0
142785328,23068672
142785980,259379200
142786031,9523200
142786049,71168000
142786245,0
142786411,39014400
142787052,22700028
142787144,102400
142787571,409600
142787718,2764800
142788141,409600
142788228,271872000
142788521,7168000
142789178,0
142789896,0
142789973,3686400
142790015,1126400
142790033,66150400
142790034,531660800
142790043,21094400
142790177,31436800
142790209,2213376000
142790214,12492800
142790272,921600
142790339,1228800
142790352,2969600
142790369,296448000
142790391,27545600
142790393,73011200
142790405,56012800
142790555,2662400
142790609,0
142790629,0
142790687,39526400
142790747,80896000
142790768,47001600
142790771,37273600
142790784,6553600
142790788,108441600
142790797,67788800
142790804,5939200
142790806,614400
142790881,3174400
142790887,307200
142790931,134758400
142791029,0
142791036,9216000
142791063,14848000
142791074,16896000
142791106,5529600
142791118,409600
142791129,397312000
142791144,21708800
142791151,153497600
142791157,14540800
142791170,122572800
142791173,4300800
142791175,307200
142791176,2560000
142791260,119500800
142791261,15872000
142791262,9113600
142791267,66662400
142791329,1740800
142791347,307200
142791355,822374400
142791363,716800
142791390,849408000
142791468,10035200
142791471,716800
142791482,0
142791494,2662400
142791511,1186508800
142791525,168345600
142791576,116633600
142791589,23654400
142791597,0
142791610,188723200
142791622,187392000
142791630,1228800
142791631,32153600
142791656,195993600
142791657,172544000
142791659,204800
142791665,12288000
142791689,35635200
142791699,27443200
142791759,56832000
142791767,921600
142791787,19046400
142791801,4608000
142791806,1433600
142791808,2150400
142791817,37683200
142791833,16486400
142791913,28364800
142791918,204800
142791941,717516800
142791948,190464000
142791950,1024000
142791998,11366400
142792016,117760000
142792061,0
142792105,49561600
142792149,431411200
142792152,269312000
142792168,55500800
142792177,257536000
142792181,240332800
142792230,102400
142792236,256204800
142792251,44236800
142792283,3072000
142792284,819200
142792292,861388800
142792293,1945600
142792300,307200
142792324,27238400
142792328,17203200
142792329,11571200
142792336,7372800
142792339,819200
142792359,19046400
142792376,64819200
142792377,614400
142792443,0
142792449,204800
142792482,1126400
142792503,5120000
142792532,129536000
142792552,77107200
142792571,90726400
142792610,1945600
142792615,409600
142792623,37171200
142792638,32563200
142792674,121548800
142792769,455065600
142792774,218931200
142792819,16486400
142792832,37990400
142792903,261222400
142792913,809881600
142792921,409600
