"CONTRACT_KEY","ROAMING_SESSIONS_COUNT"
142405010,16
142405133,28
142405389,9
142405746,1
142405904,95
142406151,32
142406157,12
142406275,4
142406487,1
142406618,2
142407157,48
142407492,12
142407634,1
142407709,235
142408249,109
142408655,2
142408657,4
142408839,28
142409289,2
142449928,4
142450157,1
142450201,1
142450541,12
142450646,4
142450664,7
142450698,234
142450988,2
142451026,99
142451344,10
142451427,65
142451542,1
142451659,3
142452969,8
142453260,23
142453277,15
142453340,1
142453844,245
142454362,10
142454922,382
142455354,1
142455420,11
142455804,22
142456258,78
142456435,1
142456701,15
142456743,395
142456757,70
142456869,3
142456886,1135
142457441,2
142457684,15
142457718,27
142458190,25
142498343,27
142498496,197
142498570,1
142498838,3
142499253,17
142499717,11
142499949,43
142500478,1
142500583,7
142500752,163
142501364,8
142501788,2
142502172,6
142502548,92
142502693,1
142503064,1
142503149,4
142504008,4
142504009,1
142504077,2
142504127,1
142504527,1
142504623,2
142504752,9
142504933,38
142605416,2
142605624,2
142607113,3
142607115,6
142607133,74
142607254,1
142607417,5
142607958,1
142608114,1
142608416,28
142609398,28
142609657,4
142609843,101
142610025,4
142610297,1
142610898,1
142610901,6
142610934,123
142611004,1
142611104,183
142611180,4
142611215,4
142611241,3
142611451,29
142611559,3
142611856,96
142612188,1
142613264,11
142613266,1
142613319,5
142613535,26
142613951,4
142614007,4
142614068,1
142675287,7
142675942,5
142676459,41
142676588,7
142676931,1
142676962,3
142677034,958
142777258,67
142777617,91
142777693,1
142777820,8
142777842,17
142777857,27
142778483,17
142778537,1
142778583,38
142779244,2
142779384,17
142779484,117
142779904,2
142780424,1
142780435,86
142780713,101
142780795,28
142780828,15
142780835,1
142780905,4
142781100,21
142781180,2
142781229,1
142781285,1
142781349,136
142781455,4
142781526,48
142781570,6
142781611,417
142781674,58
142782002,1
142782017,12
142782087,5
142782354,8
142782461,14
142782530,262
142782550,1
142782634,6
142783378,7
142783444,1
142783503,3
142783549,39
142784188,21
142784189,1
142784275,3
142784336,26
142784440,22
142784588,4
142784961,1
142785328,15
142785980,92
142786031,7
142786049,32
142786245,1
142786411,14
142787052,36
142787144,1
142787571,3
142787718,4
142788141,3
142788228,154
142788521,17
142789178,22
142789896,4
142789973,4
142790015,4
142790033,90
142790034,92
142790043,9
142790177,1
142790209,1407
142790214,57
142790272,2
142790339,8
142790352,2
142790369,86
142790391,20
142790393,78
142790405,8
142790555,5
142790609,12
142790629,8
142790687,359
142790747,23
142790768,22
142790771,12
142790784,1
142790788,21
142790797,40
142790804,7
142790806,2
142790881,7
142790887,3
142790931,69
142791029,27
142791036,3
142791063,11
142791074,8
142791106,6
142791118,3
142791129,68
142791144,10
142791151,10
142791157,6
142791170,24
142791173,6
142791175,2
142791176,4
142791260,51
142791261,17
142791262,2
142791267,23
142791329,1
142791347,1
142791355,509
142791363,3
